ad_id,fb_campaign_id,age,gender,interest
738592,109850,45-49,F,16
738593,109850,45-49,F,16
738598,109851,45-49,F,18
738606,109852,45-49,F,19
738637,109857,45-49,F,24
738648,109859,45-49,F,26
747212,110836,30-34,M,10
747213,110836,30-34,M,10
747220,110837,30-34,M,15
747222,110838,30-34,M,16
747223,110838,30-34,M,16
747248,110842,30-34,M,21
747332,110856,30-34,M,64
747362,110861,35-39,M,15
747369,110862,35-39,M,16
747370,110862,35-39,M,16
747401,110867,35-39,M,22
747435,110873,35-39,M,28
747439,110874,35-39,M,29
747489,110882,40-44,M,2
747514,110886,40-44,M,16
747645,110908,45-49,M,10
747659,110910,45-49,M,16
747675,110913,45-49,M,20
747678,110914,45-49,M,21
747712,110919,45-49,M,26
747790,110932,30-34,F,10
747791,110932,30-34,F,10
747795,110933,30-34,F,15
747798,110934,30-34,F,16
747824,110938,30-34,F,21
747828,110939,30-34,F,22
747852,110943,30-34,F,26
747859,110944,30-34,F,27
747863,110944,30-34,F,27
747879,110947,30-34,F,30
747903,110951,30-34,F,63
747911,110952,30-34,F,64
747968,110962,35-39,F,21
747991,110966,35-39,F,25
748000,110967,35-39,F,26
748007,110968,35-39,F,27
748014,110970,35-39,F,29
748045,110975,35-39,F,63
748086,110982,40-44,F,16
748087,110982,40-44,F,16
748089,110982,40-44,F,16
748091,110982,40-44,F,16
748225,111005,45-49,F,15
748230,111006,45-49,F,16
748231,111006,45-49,F,16
748233,111006,45-49,F,16
748235,111006,45-49,F,16
748294,111016,45-49,F,27
748295,111016,45-49,F,27
748303,111018,45-49,F,29
748314,111020,45-49,F,31
748341,111024,45-49,F,64
776318,115484,45-49,F,15
776322,115485,45-49,F,16
776323,115485,45-49,F,16
776325,115485,45-49,F,16
776334,115487,45-49,F,10
776336,115487,45-49,F,10
776338,115487,45-49,F,10
776353,115490,40-44,F,63
776373,115493,45-49,F,25
776383,115495,45-49,F,23
776405,115498,45-49,F,21
776416,115500,45-49,F,19
776430,115503,30-34,M,10
776464,115508,45-49,F,29
776469,115509,45-49,F,28
776473,115510,30-34,M,16
776475,115510,30-34,M,16
776476,115510,30-34,M,16
776477,115510,30-34,M,16
776489,115512,45-49,F,26
776494,115513,30-34,M,15
776515,115517,45-49,F,65
776519,115517,45-49,F,65
776533,115520,45-49,F,63
776534,115520,45-49,F,63
776538,115521,30-34,F,15
776551,115523,30-34,F,16
776552,115523,30-34,F,16
776553,115523,30-34,F,16
776563,115525,30-34,F,7
776579,115527,30-34,F,10
776603,115531,30-34,F,2
776615,115533,45-49,M,63
776623,115535,45-49,M,64
776631,115536,40-44,M,29
776643,115538,30-34,M,15
776644,115538,30-34,M,15
776659,115541,30-34,M,16
776661,115541,30-34,M,16
776662,115541,30-34,M,16
776663,115541,30-34,M,16
776668,115542,40-44,M,19
776685,115545,40-44,M,16
776686,115545,40-44,M,16
776687,115545,40-44,M,16
776696,115547,30-34,M,10
776697,115547,30-34,M,10
776698,115547,30-34,M,10
776699,115547,30-34,M,10
776722,115551,30-34,M,2
776725,115552,40-44,M,23
776780,115561,40-44,M,2
776793,115563,45-49,M,21
776799,115564,45-49,M,20
776817,115567,40-44,M,10
776825,115568,45-49,M,18
776829,115569,45-49,M,16
776831,115569,45-49,M,16
776840,115571,35-39,M,36
776861,115574,45-49,M,7
776892,115580,40-44,M,63
776928,115586,35-39,M,10
776935,115587,45-49,M,36
777105,115615,45-49,M,63
777130,115619,35-39,M,16
777131,115619,35-39,M,16
777166,115625,30-34,M,63
777187,115629,40-44,M,27
777198,115631,30-34,M,64
777200,115631,30-34,M,64
777201,115631,30-34,M,64
777235,115637,30-34,M,65
777248,115639,30-34,F,7
777261,115641,40-44,M,29
777382,115675,40-44,M,24
777398,115677,35-39,M,24
777410,115679,45-49,M,26
777482,115691,45-49,M,28
777495,115693,40-44,M,19
777519,115697,45-49,M,29
777625,115715,45-49,M,16
777627,115715,45-49,M,16
777638,115717,40-44,M,7
777670,115723,40-44,M,16
777673,115723,40-44,M,16
777742,115735,35-39,M,64
777758,115737,30-34,M,19
777794,115743,30-34,M,18
777816,115747,40-44,M,2
777871,115756,30-34,M,20
777904,115762,30-34,M,31
777905,115762,30-34,M,31
778037,115784,35-39,M,27
778048,115786,30-34,M,27
778085,115792,30-34,M,26
778087,115792,30-34,M,26
778112,115796,35-39,M,29
778113,115796,35-39,M,29
778124,115798,30-34,M,29
778148,115802,35-39,M,28
778156,115804,30-34,M,28
778161,115804,30-34,M,28
778208,115812,40-44,F,29
778264,115822,40-44,F,27
778266,115822,40-44,F,27
778421,115848,40-44,F,20
778422,115848,40-44,F,20
778461,115854,40-44,M,29
778471,115856,30-34,M,32
778483,115858,40-44,F,18
778529,115866,30-34,M,31
778556,115870,40-44,M,32
778590,115876,30-34,M,30
778600,115878,40-44,F,22
778626,115882,30-34,M,29
778628,115882,30-34,M,29
778674,115890,35-39,M,29
778689,115892,30-34,M,28
778722,115898,35-39,F,64
778737,115900,35-39,M,27
778756,115904,35-39,F,63
778804,115912,30-34,M,26
778808,115912,30-34,M,26
778964,115938,35-39,F,27
779057,115954,40-44,M,15
779106,115962,35-39,F,30
779438,116031,30-34,F,64
779453,116033,45-49,M,64
779488,116039,45-49,M,65
779573,116053,35-39,F,10
779608,116059,35-39,F,15
779609,116059,35-39,F,15
779622,116061,30-34,F,15
779631,116063,35-39,F,16
779644,116065,30-34,F,16
779645,116065,30-34,F,16
779715,116077,30-34,F,29
779716,116077,30-34,F,29
779738,116081,30-34,F,28
779778,116087,30-34,F,31
779789,116089,45-49,M,10
779824,116095,45-49,M,7
779871,116103,30-34,F,32
779918,116111,30-34,F,18
779922,116111,30-34,F,18
779944,116115,35-39,M,10
779979,116121,35-39,M,16
779995,116123,30-34,F,20
780064,116135,30-34,F,22
780104,116147,30-34,F,25
780199,116163,35-39,F,23
780318,116183,45-49,F,29
780323,116183,45-49,F,29
780486,116216,30-34,F,65
780498,116218,30-34,F,64
780511,116220,30-34,F,63
780629,116240,30-34,F,28
780653,116244,30-34,F,29
780655,116244,30-34,F,29
780666,116246,45-49,F,10
780681,116248,30-34,F,26
780700,116252,30-34,F,27
780748,116265,30-34,F,24
780759,116267,45-49,F,18
780760,116267,45-49,F,18
780797,116273,30-34,F,22
780799,116273,30-34,F,22
780821,116277,30-34,F,23
780830,116279,45-49,F,16
780835,116279,45-49,F,16
780867,116285,30-34,F,21
780974,116303,40-44,F,32
781066,116323,40-44,F,22
781114,116331,40-44,F,18
781159,116339,40-44,F,10
781162,116339,40-44,F,10
781175,116341,40-44,F,15
781187,116343,40-44,F,16
781195,116345,35-39,F,63
781207,116347,35-39,F,64
781303,116363,35-39,F,27
781305,116363,35-39,F,27
781327,116367,35-39,F,29
781353,116371,35-39,F,10
781354,116371,35-39,F,10
781438,116385,30-34,M,63
781470,116391,35-39,M,16
781499,116395,35-39,M,15
781508,116397,30-34,F,63
781556,116405,30-34,F,32
781559,116405,30-34,F,32
781606,116413,35-39,M,20
781690,116427,45-49,F,26
781811,116447,35-39,F,16
781857,116455,30-34,M,20
781858,116455,30-34,M,20
781907,116463,45-49,F,21
781928,116467,30-34,M,18
781929,116467,30-34,M,18
781950,116471,30-34,F,20
781999,116479,30-34,M,24
782001,116479,30-34,M,24
782022,116483,30-34,F,18
782026,116483,30-34,F,18
782130,116501,30-34,F,16
782134,116501,30-34,F,16
782135,116501,30-34,F,16
782171,116507,30-34,F,30
782180,116509,30-34,M,29
782219,116515,30-34,M,26
782228,116517,40-44,F,63
782242,116519,30-34,F,28
782275,116525,30-34,F,29
782337,116535,45-49,F,16
782407,116547,45-49,F,10
782443,116553,40-44,F,20
782541,116569,40-44,F,28
782587,116577,30-34,M,10
782647,116587,40-44,F,27
782658,116589,30-34,M,15
782694,116595,35-39,F,29
782706,116597,35-39,F,30
782754,116605,35-39,F,26
782815,116615,40-44,F,10
782816,116615,40-44,F,10
782862,116623,35-39,F,64
950068,123438,30-34,M,10
950078,123440,30-34,M,16
950079,123440,30-34,M,16
950099,123443,30-34,M,18
950109,123445,30-34,M,20
950170,123455,30-34,M,15
950179,123457,30-34,M,16
950182,123457,30-34,M,16
950183,123457,30-34,M,16
950200,123460,30-34,M,10
950224,123464,40-44,M,20
950326,123481,35-39,M,16
950345,123484,30-34,M,64
950452,123502,45-49,M,16
950463,123504,45-49,M,15
950495,123509,45-49,M,21
950521,123514,30-34,M,21
950531,123515,45-49,M,22
950537,123516,40-44,M,36
950550,123519,30-34,M,30
950577,123523,30-34,M,32
950578,123523,30-34,M,32
950595,123526,30-34,M,26
950609,123528,30-34,M,29
950629,123532,30-34,M,65
950631,123532,30-34,M,65
950649,123535,30-34,M,64
950745,123551,30-34,M,29
950770,123555,30-34,M,28
950772,123556,35-39,M,28
950773,123556,35-39,M,28
950776,123556,35-39,M,28
950787,123558,30-34,M,27
950808,123562,35-39,M,32
950839,123567,30-34,M,24
950878,123573,40-44,M,10
950969,123588,45-49,M,36
951021,123597,30-34,F,7
951033,123599,30-34,F,10
951035,123599,30-34,F,10
951043,123601,30-34,F,16
951045,123601,30-34,F,16
951046,123601,30-34,F,16
951102,123611,45-49,M,16
951105,123611,45-49,M,16
951133,123616,35-39,M,16
951202,123627,45-49,F,26
951225,123631,35-39,F,22
951270,123639,35-39,F,18
951282,123641,35-39,F,16
951285,123641,35-39,F,16
951294,123643,35-39,F,15
951305,123644,35-39,F,10
951334,123649,30-34,F,64
951391,123659,30-34,F,28
951392,123659,30-34,F,28
951400,123660,45-49,F,10
951402,123661,30-34,F,29
951413,123662,30-34,F,26
951420,123664,30-34,F,27
951444,123668,30-34,F,25
951448,123668,30-34,F,25
951462,123671,45-49,F,16
951464,123671,45-49,F,16
951465,123671,45-49,F,16
951498,123677,45-49,F,20
951508,123678,30-34,F,18
951542,123684,40-44,F,27
951607,123695,40-44,F,10
951608,123695,40-44,F,10
951641,123700,40-44,F,2
951677,123706,35-39,F,27
951692,123709,35-39,F,10
951715,123713,45-49,F,64
951756,123720,35-39,F,22
951779,123723,45-49,F,27
951782,123724,45-49,F,26
951810,123729,35-39,F,16
951812,123729,35-39,F,16
951837,123733,45-49,F,20
951853,123736,30-34,F,20
951854,123736,30-34,F,20
951856,123736,30-34,F,20
951941,123750,30-34,F,28
952001,123760,45-49,F,10
952031,123765,40-44,F,16
952080,123774,40-44,F,27
952100,123777,35-39,F,29
1121091,144531,30-34,M,10
1121092,144531,30-34,M,10
1121094,144531,30-34,M,10
1121095,144531,30-34,M,10
1121096,144531,30-34,M,10
1121097,144532,30-34,M,15
1121098,144532,30-34,M,15
1121100,144532,30-34,M,15
1121101,144532,30-34,M,15
1121102,144532,30-34,M,15
1121104,144533,30-34,M,16
1121105,144533,30-34,M,16
1121107,144533,30-34,M,16
1121108,144533,30-34,M,16
1121110,144534,30-34,M,18
1121111,144534,30-34,M,18
1121113,144534,30-34,M,18
1121114,144534,30-34,M,18
1121115,144535,30-34,M,19
1121116,144535,30-34,M,19
1121117,144535,30-34,M,19
1121119,144535,30-34,M,19
1121121,144536,30-34,M,20
1121122,144536,30-34,M,20
1121123,144536,30-34,M,20
1121124,144536,30-34,M,20
1121125,144536,30-34,M,20
1121126,144536,30-34,M,20
1121127,144537,30-34,M,21
1121128,144537,30-34,M,21
1121129,144537,30-34,M,21
1121131,144537,30-34,M,21
1121132,144537,30-34,M,21
1121133,144538,30-34,M,22
1121134,144538,30-34,M,22
1121136,144538,30-34,M,22
1121138,144538,30-34,M,22
1121141,144539,30-34,M,23
1121142,144539,30-34,M,23
1121143,144539,30-34,M,23
1121152,144541,30-34,M,24
1121153,144541,30-34,M,24
1121164,144545,30-34,M,25
1121167,144545,30-34,M,25
1121168,144545,30-34,M,25
1121172,144547,30-34,M,26
1121173,144547,30-34,M,26
1121175,144547,30-34,M,26
1121177,144547,30-34,M,26
1121181,144549,30-34,M,27
1121182,144549,30-34,M,27
1121183,144549,30-34,M,27
1121184,144549,30-34,M,27
1121185,144549,30-34,M,27
1121193,144552,30-34,M,28
1121195,144552,30-34,M,28
1121196,144552,30-34,M,28
1121197,144552,30-34,M,28
1121202,144554,30-34,M,29
1121203,144554,30-34,M,29
1121205,144554,30-34,M,29
1121206,144554,30-34,M,29
1121207,144554,30-34,M,29
1121211,144556,30-34,M,30
1121213,144556,30-34,M,30
1121215,144556,30-34,M,30
1121216,144556,30-34,M,30
1121220,144558,30-34,M,31
1121223,144558,30-34,M,31
1121224,144558,30-34,M,31
1121229,144561,30-34,M,32
1121231,144561,30-34,M,32
1121233,144561,30-34,M,32
1121241,144562,30-34,M,36
1121242,144562,30-34,M,36
1121243,144562,30-34,M,36
1121244,144562,30-34,M,36
1121245,144562,30-34,M,36
1121246,144562,30-34,M,36
1121250,144565,30-34,M,63
1121251,144565,30-34,M,63
1121252,144565,30-34,M,63
1121254,144565,30-34,M,63
1121255,144565,30-34,M,63
1121261,144567,30-34,M,64
1121262,144567,30-34,M,64
1121263,144567,30-34,M,64
1121264,144567,30-34,M,64
1121265,144568,30-34,M,65
1121269,144568,30-34,M,65
1121273,144569,30-34,M,2
1121274,144569,30-34,M,2
1121275,144569,30-34,M,2
1121276,144569,30-34,M,2
1121277,144570,30-34,M,7
1121278,144570,30-34,M,7
1121279,144570,30-34,M,7
1121282,144570,30-34,M,7
1121284,144571,30-34,M,66
1121285,144571,30-34,M,66
1121286,144571,30-34,M,66
1121287,144571,30-34,M,66
1121289,144572,35-39,M,10
1121290,144572,35-39,M,10
1121291,144572,35-39,M,10
1121292,144572,35-39,M,10
1121293,144572,35-39,M,10
1121296,144573,35-39,M,15
1121297,144573,35-39,M,15
1121300,144573,35-39,M,15
1121302,144574,35-39,M,16
1121303,144574,35-39,M,16
1121304,144574,35-39,M,16
1121309,144575,35-39,M,18
1121310,144575,35-39,M,18
1121311,144575,35-39,M,18
1121312,144575,35-39,M,18
1121316,144576,35-39,M,19
1121317,144576,35-39,M,19
1121319,144577,35-39,M,20
1121321,144577,35-39,M,20
1121322,144577,35-39,M,20
1121327,144578,35-39,M,21
1121330,144578,35-39,M,21
1121333,144579,35-39,M,22
1121334,144579,35-39,M,22
1121335,144579,35-39,M,22
1121336,144579,35-39,M,22
1121337,144580,35-39,M,23
1121338,144580,35-39,M,23
1121340,144580,35-39,M,23
1121341,144580,35-39,M,23
1121342,144580,35-39,M,23
1121344,144581,35-39,M,24
1121345,144581,35-39,M,24
1121347,144581,35-39,M,24
1121350,144582,35-39,M,25
1121352,144582,35-39,M,25
1121353,144582,35-39,M,25
1121355,144583,35-39,M,26
1121359,144583,35-39,M,26
1121361,144584,35-39,M,27
1121364,144584,35-39,M,27
1121365,144584,35-39,M,27
1121367,144585,35-39,M,28
1121368,144585,35-39,M,28
1121369,144585,35-39,M,28
1121370,144585,35-39,M,28
1121372,144585,35-39,M,28
1121373,144586,35-39,M,29
1121374,144586,35-39,M,29
1121375,144586,35-39,M,29
1121377,144586,35-39,M,29
1121378,144586,35-39,M,29
1121379,144587,35-39,M,30
1121380,144587,35-39,M,30
1121381,144587,35-39,M,30
1121390,144588,35-39,M,31
1121391,144589,35-39,M,32
1121394,144589,35-39,M,32
1121395,144589,35-39,M,32
1121398,144590,35-39,M,36
1121400,144590,35-39,M,36
1121403,144591,35-39,M,63
1121405,144591,35-39,M,63
1121410,144592,35-39,M,64
1121411,144592,35-39,M,64
1121412,144592,35-39,M,64
1121413,144592,35-39,M,64
1121414,144592,35-39,M,64
1121415,144593,35-39,M,65
1121418,144593,35-39,M,65
1121421,144594,35-39,M,2
1121422,144594,35-39,M,2
1121423,144594,35-39,M,2
1121425,144594,35-39,M,2
1121428,144595,35-39,M,7
1121429,144595,35-39,M,7
1121430,144595,35-39,M,7
1121433,144596,35-39,M,66
1121437,144596,35-39,M,66
1121439,144597,40-44,M,10
1121440,144597,40-44,M,10
1121442,144597,40-44,M,10
1121443,144597,40-44,M,10
1121444,144597,40-44,M,10
1121446,144598,40-44,M,15
1121451,144599,40-44,M,16
1121452,144599,40-44,M,16
1121453,144599,40-44,M,16
1121454,144599,40-44,M,16
1121455,144599,40-44,M,16
1121456,144599,40-44,M,16
1121464,144601,40-44,M,19
1121466,144601,40-44,M,19
1121467,144601,40-44,M,19
1121469,144602,40-44,M,20
1121471,144602,40-44,M,20
1121472,144602,40-44,M,20
1121473,144602,40-44,M,20
1121474,144602,40-44,M,20
1121477,144603,40-44,M,21
1121481,144604,40-44,M,22
1121482,144604,40-44,M,22
1121483,144604,40-44,M,22
1121484,144604,40-44,M,22
1121487,144605,40-44,M,23
1121489,144605,40-44,M,23
1121493,144606,40-44,M,24
1121497,144606,40-44,M,24
1121499,144607,40-44,M,25
1121510,144608,40-44,M,26
1121511,144609,40-44,M,27
1121514,144609,40-44,M,27
1121523,144611,40-44,M,29
1121524,144611,40-44,M,29
1121525,144611,40-44,M,29
1121526,144611,40-44,M,29
1121527,144611,40-44,M,29
1121528,144611,40-44,M,29
1121530,144612,40-44,M,30
1121532,144612,40-44,M,30
1121535,144613,40-44,M,31
1121541,144614,40-44,M,32
1121544,144614,40-44,M,32
1121545,144614,40-44,M,32
1121548,144615,40-44,M,36
1121551,144615,40-44,M,36
1121554,144616,40-44,M,63
1121557,144616,40-44,M,63
1121561,144617,40-44,M,64
1121562,144617,40-44,M,64
1121568,144618,40-44,M,65
1121571,144619,40-44,M,2
1121572,144619,40-44,M,2
1121575,144619,40-44,M,2
1121577,144620,40-44,M,7
1121584,144621,40-44,M,66
1121585,144621,40-44,M,66
1121589,144622,45-49,M,10
1121590,144622,45-49,M,10
1121592,144622,45-49,M,10
1121593,144622,45-49,M,10
1121594,144622,45-49,M,10
1121597,144623,45-49,M,15
1121598,144623,45-49,M,15
1121599,144623,45-49,M,15
1121601,144624,45-49,M,16
1121602,144624,45-49,M,16
1121603,144624,45-49,M,16
1121605,144624,45-49,M,16
1121606,144624,45-49,M,16
1121607,144625,45-49,M,18
1121609,144625,45-49,M,18
1121612,144625,45-49,M,18
1121613,144626,45-49,M,19
1121615,144626,45-49,M,19
1121616,144626,45-49,M,19
1121617,144626,45-49,M,19
1121619,144627,45-49,M,20
1121620,144627,45-49,M,20
1121622,144627,45-49,M,20
1121623,144627,45-49,M,20
1121624,144627,45-49,M,20
1121627,144628,45-49,M,21
1121628,144628,45-49,M,21
1121629,144628,45-49,M,21
1121635,144629,45-49,M,22
1121638,144630,45-49,M,23
1121641,144630,45-49,M,23
1121642,144630,45-49,M,23
1121644,144631,45-49,M,24
1121650,144632,45-49,M,25
1121652,144632,45-49,M,25
1121660,144633,45-49,M,26
1121661,144634,45-49,M,27
1121662,144634,45-49,M,27
1121664,144634,45-49,M,27
1121665,144634,45-49,M,27
1121666,144634,45-49,M,27
1121667,144635,45-49,M,28
1121668,144635,45-49,M,28
1121669,144635,45-49,M,28
1121671,144635,45-49,M,28
1121672,144635,45-49,M,28
1121673,144636,45-49,M,29
1121674,144636,45-49,M,29
1121675,144636,45-49,M,29
1121676,144636,45-49,M,29
1121677,144636,45-49,M,29
1121678,144636,45-49,M,29
1121685,144638,45-49,M,31
1121687,144638,45-49,M,31
1121689,144638,45-49,M,31
1121691,144639,45-49,M,32
1121692,144639,45-49,M,32
1121693,144639,45-49,M,32
1121695,144639,45-49,M,32
1121701,144640,45-49,M,36
1121705,144641,45-49,M,63
1121706,144641,45-49,M,63
1121708,144641,45-49,M,63
1121711,144642,45-49,M,64
1121716,144643,45-49,M,65
1121723,144644,45-49,M,2
1121733,144646,45-49,M,66
1121741,144647,30-34,F,10
1121742,144647,30-34,F,10
1121745,144648,30-34,F,15
1121746,144648,30-34,F,15
1121749,144648,30-34,F,15
1121751,144649,30-34,F,16
1121753,144649,30-34,F,16
1121754,144649,30-34,F,16
1121755,144649,30-34,F,16
1121756,144649,30-34,F,16
1121758,144650,30-34,F,18
1121759,144650,30-34,F,18
1121760,144650,30-34,F,18
1121763,144651,30-34,F,19
1121764,144651,30-34,F,19
1121765,144651,30-34,F,19
1121767,144651,30-34,F,19
1121768,144651,30-34,F,19
1121769,144652,30-34,F,20
1121773,144652,30-34,F,20
1121774,144652,30-34,F,20
1121775,144653,30-34,F,21
1121776,144653,30-34,F,21
1121779,144653,30-34,F,21
1121780,144653,30-34,F,21
1121782,144654,30-34,F,22
1121783,144654,30-34,F,22
1121791,144655,30-34,F,23
1121793,144656,30-34,F,24
1121795,144656,30-34,F,24
1121796,144656,30-34,F,24
1121798,144656,30-34,F,24
1121803,144657,30-34,F,25
1121806,144658,30-34,F,26
1121807,144658,30-34,F,26
1121812,144659,30-34,F,27
1121814,144659,30-34,F,27
1121815,144659,30-34,F,27
1121816,144659,30-34,F,27
1121817,144660,30-34,F,28
1121818,144660,30-34,F,28
1121819,144660,30-34,F,28
1121820,144660,30-34,F,28
1121824,144661,30-34,F,29
1121826,144661,30-34,F,29
1121827,144661,30-34,F,29
1121828,144661,30-34,F,29
1121829,144662,30-34,F,30
1121832,144662,30-34,F,30
1121833,144662,30-34,F,30
1121835,144663,30-34,F,31
1121839,144663,30-34,F,31
1121841,144664,30-34,F,32
1121843,144664,30-34,F,32
1121844,144664,30-34,F,32
1121845,144664,30-34,F,32
1121846,144664,30-34,F,32
1121847,144665,30-34,F,36
1121854,144666,30-34,F,63
1121855,144666,30-34,F,63
1121856,144666,30-34,F,63
1121857,144666,30-34,F,63
1121859,144667,30-34,F,64
1121860,144667,30-34,F,64
1121861,144667,30-34,F,64
1121862,144667,30-34,F,64
1121863,144667,30-34,F,64
1121867,144668,30-34,F,65
1121869,144668,30-34,F,65
1121871,144669,30-34,F,2
1121873,144669,30-34,F,2
1121874,144669,30-34,F,2
1121876,144669,30-34,F,2
1121877,144670,30-34,F,7
1121878,144670,30-34,F,7
1121881,144670,30-34,F,7
1121888,144671,30-34,F,66
1121889,144672,35-39,F,10
1121890,144672,35-39,F,10
1121891,144672,35-39,F,10
1121894,144672,35-39,F,10
1121895,144673,35-39,F,15
1121897,144673,35-39,F,15
1121901,144674,35-39,F,16
1121902,144674,35-39,F,16
1121903,144674,35-39,F,16
1121904,144674,35-39,F,16
1121905,144674,35-39,F,16
1121906,144674,35-39,F,16
1121907,144675,35-39,F,18
1121917,144676,35-39,F,19
1121918,144676,35-39,F,19
1121925,144678,35-39,F,21
1121928,144678,35-39,F,21
1121931,144679,35-39,F,22
1121933,144679,35-39,F,22
1121935,144679,35-39,F,22
1121936,144679,35-39,F,22
1121944,144681,35-39,F,24
1121948,144681,35-39,F,24
1121949,144682,35-39,F,25
1121953,144682,35-39,F,25
1121954,144682,35-39,F,25
1121955,144683,35-39,F,26
1121956,144683,35-39,F,26
1121962,144684,35-39,F,27
1121963,144684,35-39,F,27
1121971,144685,35-39,F,28
1121973,144686,35-39,F,29
1121976,144686,35-39,F,29
1121977,144686,35-39,F,29
1121983,144687,35-39,F,30
1121994,144689,35-39,F,32
1122003,144691,35-39,F,63
1122004,144691,35-39,F,63
1122005,144691,35-39,F,63
1122006,144691,35-39,F,63
1122007,144691,35-39,F,63
1122011,144692,35-39,F,64
1122012,144692,35-39,F,64
1122022,144694,35-39,F,2
1122027,144695,35-39,F,7
1122039,144697,40-44,F,10
1122040,144697,40-44,F,10
1122041,144697,40-44,F,10
1122043,144697,40-44,F,10
1122044,144697,40-44,F,10
1122047,144698,40-44,F,15
1122052,144699,40-44,F,16
1122054,144699,40-44,F,16
1122055,144699,40-44,F,16
1122056,144699,40-44,F,16
1122058,144700,40-44,F,18
1122075,144703,40-44,F,21
1122078,144703,40-44,F,21
1122079,144703,40-44,F,21
1122085,144704,40-44,F,22
1122089,144705,40-44,F,23
1122092,144705,40-44,F,23
1122101,144707,40-44,F,25
