,ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,age_lower_bound,age_upper_bound
22,709326,916,104013,35-39,M,16,12190.0,2.0,3.049999952,1,0.0,35,39
23,709327,916,104013,35-39,M,16,12193.0,2.0,3.059999943,1,1.0,35,39
24,709328,916,104013,35-39,M,16,3332.0,0.0,0.0,1,1.0,35,39
25,709455,916,104034,35-39,M,7,559.0,0.0,0.0,1,0.0,35,39
26,709544,916,104049,35-39,M,29,7440.0,2.0,2.980000019,1,1.0,35,39
27,709614,916,104061,40-44,M,16,19113.0,4.0,5.5200001,1,0.0,40,44
28,709756,916,104085,40-44,M,16,10976.0,2.0,1.690000057,1,1.0,40,44
29,709761,916,104085,40-44,M,16,2861.0,0.0,0.0,1,0.0,40,44
30,709899,916,104108,40-44,M,15,1398.0,0.0,0.0,1,1.0,40,44
31,709901,916,104109,40-44,M,16,23817.0,7.0,8.470000148,1,1.0,40,44
32,710045,916,104133,45-49,M,16,47224.0,12.0,15.82000017,1,0.0,45,49
33,710088,916,104140,45-49,M,24,2283.0,1.0,1.470000029,1,0.0,45,49
34,710360,916,104185,45-49,M,21,2182.0,1.0,1.529999971,1,1.0,45,49
35,710477,916,104205,30-34,F,16,2654.0,0.0,0.0,1,1.0,30,34
36,710480,916,104205,30-34,F,16,57665.0,14.0,18.06999969,1,1.0,30,34
37,710571,916,104220,30-34,F,32,3091.0,1.0,1.610000014,1,1.0,30,34
38,710617,916,104228,30-34,F,15,5014.0,1.0,1.190000057,1,0.0,30,34
39,710623,916,104229,30-34,F,16,38726.0,7.0,9.220000267,1,0.0,30,34
40,710628,916,104230,30-34,F,18,1473.0,0.0,0.0,1,0.0,30,34
41,710682,916,104239,30-34,F,27,1186.0,0.0,0.0,1,0.0,30,34
42,710763,916,104252,30-34,F,15,5369.0,1.0,1.50999999,1,0.0,30,34
43,710836,916,104265,30-34,F,29,22221.0,7.0,9.430000067,1,1.0,30,34
44,710867,916,104270,30-34,F,63,1185.0,0.0,0.0,1,0.0,30,34
45,710880,916,104272,30-34,F,65,13019.0,5.0,6.960000038,1,0.0,30,34
46,710961,916,104285,35-39,F,25,2508.0,1.0,1.220000029,1,0.0,35,39
47,710968,916,104287,35-39,F,27,5864.0,2.0,2.799999952,1,1.0,35,39
48,711217,916,104328,35-39,F,20,2783.0,1.0,1.600000024,1,0.0,35,39
49,711623,916,104396,40-44,F,15,3812.0,1.0,1.129999995,2,1.0,40,44
50,711764,916,104419,45-49,F,10,11199.0,4.0,5.730000019,1,1.0,45,49
51,711785,916,104423,45-49,F,19,292.0,0.0,0.0,1,0.0,45,49
52,711877,916,104438,45-49,F,63,17572.0,7.0,9.379999995,1,0.0,45,49
53,712052,916,104467,45-49,F,10,1448.0,0.0,0.0,1,1.0,45,49
54,734209,936,108654,30-34,M,10,1772.0,0.0,0.0,1,1.0,30,34
55,734210,936,108654,30-34,M,10,13329.0,4.0,5.629999995,1,1.0,30,34
56,734215,936,108655,30-34,M,15,13659.0,3.0,3.840000033,1,0.0,30,34
57,734243,936,108660,30-34,M,21,739.0,0.0,0.0,1,1.0,30,34
58,734266,936,108664,30-34,M,25,605.0,0.0,0.0,1,0.0,30,34
59,734272,936,108665,30-34,M,26,1030.0,0.0,0.0,1,0.0,30,34
60,734290,936,108668,30-34,M,29,5374.0,1.0,1.039999962,4,0.0,30,34
61,734313,936,108672,30-34,M,36,790.0,0.0,0.0,1,1.0,30,34
62,734314,936,108672,30-34,M,36,962.0,0.0,0.0,1,0.0,30,34
63,734352,936,108678,35-39,M,10,4423.0,1.0,1.460000038,1,1.0,35,39
64,734361,936,108680,35-39,M,16,12382.0,2.0,2.839999914,1,1.0,35,39
65,734381,936,108683,35-39,M,20,2938.0,1.0,1.350000024,1,1.0,35,39
66,734399,936,108686,35-39,M,23,239.0,0.0,0.0,1,0.0,35,39
67,734418,936,108689,35-39,M,26,591.0,0.0,0.0,1,0.0,35,39
68,734421,936,108690,35-39,M,27,10332.0,4.0,5.75,1,0.0,35,39
69,734427,936,108691,35-39,M,28,8259.0,3.0,3.980000019,1,0.0,35,39
70,734433,936,108692,35-39,M,29,12158.0,3.0,4.449999928,1,0.0,35,39
71,734582,936,108716,40-44,M,29,7709.0,2.0,1.320000052,2,0.0,40,44
72,734605,936,108720,40-44,M,36,834.0,0.0,0.0,1,0.0,40,44
73,734660,936,108729,45-49,M,18,1299.0,0.0,0.0,2,0.0,45,49
74,734666,936,108730,45-49,M,19,371.0,0.0,0.0,1,0.0,45,49
75,734726,936,108740,45-49,M,29,10466.0,3.0,4.090000033,1,0.0,45,49
76,734737,936,108742,45-49,M,31,839.0,0.0,0.0,1,0.0,45,49
77,734785,936,108750,30-34,F,10,5576.0,1.0,1.529999971,1,1.0,30,34
78,734794,936,108752,30-34,F,16,4010.0,0.0,0.0,1,0.0,30,34
79,734796,936,108752,30-34,F,16,39337.0,7.0,10.03000009,1,1.0,30,34
80,734800,936,108753,30-34,F,18,1635.0,0.0,0.0,1,0.0,30,34
81,734803,936,108753,30-34,F,18,1631.0,0.0,0.0,1,0.0,30,34
82,734852,936,108761,30-34,F,26,13479.0,3.0,4.25,1,0.0,30,34
83,734854,936,108762,30-34,F,27,57022.0,13.0,20.29000032,3,2.5,30,34
84,734856,936,108762,30-34,F,27,5453.0,1.0,1.389999986,1,1.0,30,34
85,734866,936,108764,30-34,F,29,11803.0,3.0,4.440000057,1,0.0,30,34
86,734881,936,108766,30-34,F,31,4259.0,1.0,1.570000052,1,1.0,30,34
87,734901,936,108770,30-34,F,64,1554.0,0.0,0.0,1,0.0,30,34
88,734903,936,108770,30-34,F,64,5323.0,1.0,1.289999962,1,1.0,30,34
89,734925,936,108774,35-39,F,10,5024.0,1.0,1.409999967,1,1.0,35,39
90,734939,936,108776,35-39,F,16,104648.0,24.0,33.33000004,4,2.0,35,39
91,734968,936,108781,35-39,F,22,8504.0,3.0,3.340000093,1,1.0,35,39
92,734999,936,108786,35-39,F,27,20277.0,6.0,8.050000072,1,0.0,35,39
93,735014,936,108788,35-39,F,29,12403.0,4.0,5.210000038,1,1.0,35,39
94,735032,936,108791,35-39,F,32,498.0,0.0,0.0,1,1.0,35,39
95,735033,936,108792,35-39,F,36,652.0,0.0,0.0,0,0.0,35,39
96,735043,936,108793,35-39,F,63,1357.0,0.0,0.0,1,1.0,35,39
97,735048,936,108794,35-39,F,64,1393.0,0.0,0.0,1,0.0,35,39
98,735065,936,108797,40-44,F,7,648.0,0.0,0.0,1,0.0,40,44
99,735109,936,108804,40-44,F,21,708.0,0.0,0.0,1,1.0,40,44
100,735140,936,108809,40-44,F,26,6907.0,2.0,2.349999964,1,0.0,40,44
101,735143,936,108810,40-44,F,27,39035.0,13.0,19.32999957,1,0.0,40,44
102,735151,936,108811,40-44,F,28,926.0,0.0,0.0,1,0.0,40,44
103,735184,936,108817,40-44,F,63,4412.0,1.0,1.450000048,1,0.0,40,44
104,735189,936,108818,40-44,F,64,9965.0,3.0,4.050000072,1,0.0,40,44
105,735213,936,108822,45-49,F,10,73634.0,23.0,32.97999978,1,0.0,45,49
106,735220,936,108823,45-49,F,15,69708.0,20.0,31.28999949,1,0.0,45,49
107,735242,936,108826,45-49,F,19,530.0,0.0,0.0,1,0.0,45,49
108,735247,936,108827,45-49,F,20,14257.0,6.0,8.789999962,1,0.0,45,49
109,735289,936,108834,45-49,F,27,20362.0,5.0,9.119999886,1,1.0,45,49
110,735290,936,108834,45-49,F,27,12215.0,4.0,6.26000011,1,0.0,45,49
111,735298,936,108836,45-49,F,29,85412.0,28.0,38.63999999,2,1.0,45,49
112,736869,936,109448,30-34,M,2,2338.0,1.0,0.239999995,1,0.0,30,34
113,736890,936,109451,30-34,M,15,2522.0,0.0,0.0,1,0.0,30,34
114,736893,936,109452,30-34,M,16,3587.0,0.0,0.0,1,0.0,30,34
115,736977,936,109470,30-34,M,27,1273.0,0.0,0.0,1,0.0,30,34
116,736988,936,109472,30-34,M,28,3891.0,1.0,1.090000033,1,0.0,30,34
117,736995,936,109473,30-34,M,29,1888.0,0.0,0.0,1,0.0,30,34
118,736997,936,109473,30-34,M,29,1895.0,0.0,0.0,1,0.0,30,34
119,737097,936,109498,35-39,M,7,715.0,0.0,0.0,1,0.0,35,39
120,737130,936,109507,35-39,M,16,11199.0,2.0,2.680000067,1,0.0,35,39
121,737320,936,109553,35-39,M,63,5676.0,2.0,3.00999999,1,0.0,35,39
122,737375,936,109565,40-44,M,10,1415.0,0.0,0.0,1,0.0,40,44
123,737524,936,109601,40-44,M,30,2148.0,1.0,1.580000043,1,1.0,40,44
124,737644,936,109629,45-49,M,16,45401.0,10.0,14.06000042,1,0.0,45,49
125,737657,936,109633,45-49,M,18,7478.0,2.0,2.900000095,1,1.0,45,49
126,737658,936,109633,45-49,M,18,4919.0,1.0,1.590000033,1,0.0,45,49
127,737674,936,109637,45-49,M,20,533.0,0.0,0.0,1,1.0,45,49
128,737766,936,109659,45-49,M,29,1447.0,0.0,0.0,1,1.0,45,49
129,737896,936,109689,30-34,F,16,17553.0,3.0,4.590000153,1,0.0,30,34
130,737931,936,109698,30-34,F,20,3343.0,1.0,0.540000021,1,0.0,30,34
131,737961,936,109706,30-34,F,23,523.0,0.0,0.0,1,0.0,30,34
132,737995,936,109714,30-34,F,26,1873.0,0.0,0.0,1,0.0,30,34
133,738006,936,109717,30-34,F,27,34740.0,7.0,13.41000009,1,1.0,30,34
134,738067,936,109731,30-34,F,32,658.0,0.0,0.0,1,0.0,30,34
135,738098,936,109738,30-34,F,64,1539.0,0.0,0.0,1,0.0,30,34
136,738307,936,109788,35-39,F,31,3010.0,1.0,0.860000014,1,1.0,35,39
137,738389,936,109808,40-44,F,10,27081.0,9.0,10.77000046,1,1.0,40,44
138,738408,936,109813,40-44,F,16,20233.0,4.0,5.590000153,3,0.0,40,44
139,738413,936,109813,40-44,F,16,147159.0,36.0,58.16000044,3,1.0,40,44
140,738423,936,109816,40-44,F,18,21664.0,7.0,10.61999977,1,1.0,40,44
141,738436,936,109820,40-44,F,19,9112.0,4.0,5.460000038,1,1.0,40,44
142,738463,936,109826,40-44,F,21,542.0,0.0,0.0,1,0.0,40,44
143,738528,936,109839,40-44,F,30,402.0,0.0,0.0,1,1.0,40,44
144,738560,936,109844,40-44,F,64,1338.0,0.0,0.0,1,0.0,40,44
145,738582,936,109848,45-49,F,10,46150.0,15.0,20.17999983,1,1.0,45,49
146,738592,936,109850,45-49,F,16,493821.0,92.25,147.842499759,4,1.0,45,49
147,738593,936,109850,45-49,F,16,92011.0,27.0,34.39000046,2,1.0,45,49
148,738598,936,109851,45-49,F,18,12956.0,4.0,5.49000001,1,1.0,45,49
149,738606,936,109852,45-49,F,19,529.0,0.0,0.0,1,0.0,45,49
150,738637,936,109857,45-49,F,24,944.0,1.0,1.419999957,1,0.0,45,49
151,738648,936,109859,45-49,F,26,111090.0,38.0,51.97000027,5,1.0,45,49
152,747212,936,110836,30-34,M,10,7208.0,2.0,3.190000057,1,0.0,30,34
153,747213,936,110836,30-34,M,10,1746.0,0.0,0.0,1,0.0,30,34
154,747220,936,110837,30-34,M,15,2474.0,0.0,0.0,2,2.0,30,34
155,747222,936,110838,30-34,M,16,12489.0,2.0,1.960000038,1,0.0,30,34
156,747223,936,110838,30-34,M,16,8032.0,1.0,0.600000024,2,0.0,30,34
157,747248,936,110842,30-34,M,21,472.0,0.0,0.0,1,1.0,30,34
158,747332,936,110856,30-34,M,64,792.0,0.0,0.0,1,1.0,30,34
159,747362,936,110861,35-39,M,15,4607.0,1.0,1.149999976,1,1.0,35,39
160,747369,936,110862,35-39,M,16,13355.0,2.0,3.180000067,1,1.0,35,39
161,747370,936,110862,35-39,M,16,2936.0,0.0,0.0,1,0.0,35,39
162,747401,936,110867,35-39,M,22,2793.0,1.0,0.980000019,1,1.0,35,39
163,747435,936,110873,35-39,M,28,1032.0,0.0,0.0,1,0.0,35,39
164,747439,936,110874,35-39,M,29,1662.0,0.0,0.0,1,1.0,35,39
165,747489,936,110882,40-44,M,2,4016.0,2.0,1.480000049,1,1.0,40,44
166,747514,936,110886,40-44,M,16,14843.0,3.0,2.939999938,1,1.0,40,44
167,747645,936,110908,45-49,M,10,9674.0,3.0,4.600000024,1,1.0,45,49
168,747659,936,110910,45-49,M,16,12186.0,2.0,2.669999957,1,0.0,45,49
169,747675,936,110913,45-49,M,20,673.0,0.0,0.0,1,0.0,45,49
170,747678,936,110914,45-49,M,21,370.0,0.0,0.0,1,1.0,45,49
171,747712,936,110919,45-49,M,26,450.0,0.0,0.0,1,1.0,45,49
172,747790,936,110932,30-34,F,10,2077.0,0.0,0.0,1,1.0,30,34
173,747791,936,110932,30-34,F,10,31393.0,8.0,10.96000051,1,1.0,30,34
174,747795,936,110933,30-34,F,15,8410.0,2.0,2.359999895,1,1.0,30,34
175,747798,936,110934,30-34,F,16,25884.0,5.0,7.350000143,1,0.0,30,34
176,747824,936,110938,30-34,F,21,608.0,0.0,0.0,1,1.0,30,34
177,747828,936,110939,30-34,F,22,28488.0,10.0,9.340000033,1,0.0,30,34
178,747852,936,110943,30-34,F,26,10126.0,3.0,4.619999886,1,0.0,30,34
179,747859,936,110944,30-34,F,27,22572.0,5.0,8.5,1,0.0,30,34
180,747863,936,110944,30-34,F,27,1955.0,0.0,0.0,1,1.0,30,34
181,747879,936,110947,30-34,F,30,493.0,0.0,0.0,1,0.0,30,34
182,747903,936,110951,30-34,F,63,1491.0,0.0,0.0,1,1.0,30,34
183,747911,936,110952,30-34,F,64,1495.0,0.0,0.0,1,1.0,30,34
184,747968,936,110962,35-39,F,21,512.0,0.0,0.0,0,0.0,35,39
185,747991,936,110966,35-39,F,25,4868.0,2.0,2.420000076,1,0.0,35,39
186,748000,936,110967,35-39,F,26,6585.0,2.0,2.950000048,1,0.0,35,39
187,748007,936,110968,35-39,F,27,10164.0,2.0,3.720000029,1,1.0,35,39
188,748014,936,110970,35-39,F,29,11182.0,4.0,4.449999809,1,0.0,35,39
189,748045,936,110975,35-39,F,63,1238.0,0.0,0.0,1,0.0,35,39
190,748086,936,110982,40-44,F,16,34127.0,8.0,13.07000017,1,0.0,40,44
191,748087,936,110982,40-44,F,16,29466.0,7.0,10.84999967,2,0.0,40,44
192,748089,936,110982,40-44,F,16,38759.0,9.0,10.84999967,1,0.0,40,44
193,748091,936,110982,40-44,F,16,41720.0,10.0,12.06000006,1,1.0,40,44
194,748225,936,111005,45-49,F,15,18602.0,5.0,8.860000134,1,0.0,45,49
195,748230,936,111006,45-49,F,16,83929.0,21.0,27.72999954,4,1.0,45,49
196,748231,936,111006,45-49,F,16,25194.0,6.0,7.349999905,1,0.0,45,49
197,748233,936,111006,45-49,F,16,78627.0,19.0,26.53000045,1,0.0,45,49
198,748235,936,111006,45-49,F,16,102695.0,25.0,39.42999983,3,0.0,45,49
199,748294,936,111016,45-49,F,27,82827.0,24.0,47.93000031,3,0.0,45,49
200,748295,936,111016,45-49,F,27,9240.0,3.0,6.039999962,1,0.0,45,49
201,748303,936,111018,45-49,F,29,7706.0,2.0,2.369999886,1,0.0,45,49
202,748314,936,111020,45-49,F,31,7821.0,4.0,6.340000153,1,1.0,45,49
203,748341,936,111024,45-49,F,64,1363.0,0.0,0.0,1,1.0,45,49
204,776318,936,115484,45-49,F,15,3569.0,0.0,0.0,1,1.0,45,49
205,776322,936,115485,45-49,F,16,119063.0,34.0,53.21999949,1,0.0,45,49
206,776323,936,115485,45-49,F,16,99078.0,23.0,35.79999948,2,0.0,45,49
207,776325,936,115485,45-49,F,16,452398.0,92.25,147.842499759,1,0.0,45,49
208,776334,936,115487,45-49,F,10,191223.0,48.0,76.41000056,1,0.0,45,49
209,776336,936,115487,45-49,F,10,22216.0,6.0,9.549999952,1,0.0,45,49
210,776338,936,115487,45-49,F,10,48291.0,11.0,18.01999998,1,0.0,45,49
211,776353,936,115490,40-44,F,63,27559.0,8.0,13.37,1,0.0,40,44
212,776373,936,115493,45-49,F,25,10194.0,4.0,4.590000033,2,1.0,45,49
213,776383,936,115495,45-49,F,23,1168.0,0.0,0.0,1,1.0,45,49
214,776405,936,115498,45-49,F,21,40126.0,16.0,25.86000001,1,0.0,45,49
215,776416,936,115500,45-49,F,19,3659.0,1.0,0.49000001,1,1.0,45,49
216,776430,936,115503,30-34,M,10,3200.0,0.0,0.0,1,0.0,30,34
217,776464,936,115508,45-49,F,29,7550.0,1.0,1.679999948,1,1.0,45,49
218,776469,936,115509,45-49,F,28,45397.0,15.0,25.41999936,1,1.0,45,49
219,776473,936,115510,30-34,M,16,23086.0,2.0,3.310000062,1,1.0,30,34
220,776475,936,115510,30-34,M,16,16425.0,1.0,1.549999952,1,0.0,30,34
221,776476,936,115510,30-34,M,16,43756.0,5.0,5.439999938,0,0.0,30,34
222,776477,936,115510,30-34,M,16,9982.0,0.0,0.0,1,0.0,30,34
223,776489,936,115512,45-49,F,26,175389.0,55.0,81.60999787,1,0.0,45,49
224,776494,936,115513,30-34,M,15,7015.0,0.0,0.0,1,0.0,30,34
225,776515,936,115517,45-49,F,65,12706.0,3.0,4.98999989,1,1.0,45,49
226,776519,936,115517,45-49,F,65,70702.0,20.0,31.7099998,1,0.0,45,49
227,776533,936,115520,45-49,F,63,63927.0,16.0,25.52000046,2,0.0,45,49
228,776534,936,115520,45-49,F,63,15105.0,3.0,4.25999999,1,0.0,45,49
229,776538,936,115521,30-34,F,15,8774.0,1.0,1.830000043,1,0.0,30,34
230,776551,936,115523,30-34,F,16,14459.0,1.0,1.389999986,1,0.0,30,34
231,776552,936,115523,30-34,F,16,21596.0,2.0,2.809999943,1,0.0,30,34
232,776553,936,115523,30-34,F,16,66765.0,8.0,11.04999971,1,0.0,30,34
233,776563,936,115525,30-34,F,7,1369.0,0.0,0.0,1,1.0,30,34
234,776579,936,115527,30-34,F,10,26910.0,5.0,7.229999781,1,0.0,30,34
235,776603,936,115531,30-34,F,2,506.0,0.0,0.0,1,0.0,30,34
236,776615,936,115533,45-49,M,63,11988.0,3.0,4.269999862,1,0.0,45,49
237,776623,936,115535,45-49,M,64,19353.0,6.0,9.4799999,1,1.0,45,49
238,776631,936,115536,40-44,M,29,10960.0,2.0,2.890000105,1,0.0,40,44
239,776643,936,115538,30-34,M,15,33491.0,6.0,10.56999969,2,1.0,30,34
240,776644,936,115538,30-34,M,15,20083.0,2.0,3.200000048,2,1.0,30,34
241,776659,936,115541,30-34,M,16,8817.0,0.0,0.0,1,1.0,30,34
242,776661,936,115541,30-34,M,16,15466.0,1.0,0.970000029,1,0.0,30,34
243,776662,936,115541,30-34,M,16,27072.0,3.0,4.370000005,1,0.0,30,34
244,776663,936,115541,30-34,M,16,15753.0,1.0,0.569999993,1,1.0,30,34
245,776668,936,115542,40-44,M,19,3523.0,1.0,1.809999943,1,1.0,40,44
246,776685,936,115545,40-44,M,16,7745.0,0.0,0.0,1,0.0,40,44
247,776686,936,115545,40-44,M,16,18709.0,2.0,3.319999933,1,0.0,40,44
248,776687,936,115545,40-44,M,16,8022.0,0.0,0.0,2,1.0,40,44
249,776696,936,115547,30-34,M,10,7966.0,1.0,1.179999948,1,1.0,30,34
250,776697,936,115547,30-34,M,10,4132.0,0.0,0.0,1,1.0,30,34
251,776698,936,115547,30-34,M,10,12785.0,3.0,4.730000019,2,1.0,30,34
252,776699,936,115547,30-34,M,10,8213.0,1.0,1.379999995,1,1.0,30,34
253,776722,936,115551,30-34,M,2,545.0,0.0,0.0,1,1.0,30,34
254,776725,936,115552,40-44,M,23,2479.0,1.0,1.25999999,1,0.0,40,44
255,776780,936,115561,40-44,M,2,3812.0,2.0,3.049999952,1,0.0,40,44
256,776793,936,115563,45-49,M,21,1609.0,0.0,0.0,1,0.0,45,49
257,776799,936,115564,45-49,M,20,10257.0,3.0,3.579999924,1,1.0,45,49
258,776817,936,115567,40-44,M,10,12356.0,4.0,6.279999971,1,0.0,40,44
259,776825,936,115568,45-49,M,18,7410.0,1.0,1.210000038,1,0.0,45,49
260,776829,936,115569,45-49,M,16,140098.0,28.0,46.63000011,1,0.0,45,49
261,776831,936,115569,45-49,M,16,107021.0,20.0,34.44000012,1,0.0,45,49
262,776840,936,115571,35-39,M,36,2797.0,1.0,1.289999962,1,0.0,35,39
263,776861,936,115574,45-49,M,7,16461.0,6.0,9.21999979,1,0.0,45,49
264,776892,936,115580,40-44,M,63,17488.0,5.0,7.719999909,1,0.0,40,44
265,776928,936,115586,35-39,M,10,9750.0,2.0,1.5,1,1.0,35,39
266,776935,936,115587,45-49,M,36,1136.0,0.0,0.0,1,1.0,45,49
267,777105,936,115615,45-49,M,63,4333.0,1.0,0.180000007,1,1.0,45,49
268,777130,936,115619,35-39,M,16,6260.0,0.0,0.0,1,0.0,35,39
269,777131,936,115619,35-39,M,16,6359.0,0.0,0.0,1,0.0,35,39
270,777166,936,115625,30-34,M,63,2383.0,0.0,0.0,1,1.0,30,34
271,777187,936,115629,40-44,M,27,11292.0,3.0,5.389999866,1,1.0,40,44
272,777198,936,115631,30-34,M,64,12729.0,4.0,5.779999852,1,0.0,30,34
273,777200,936,115631,30-34,M,64,1898.0,0.0,0.0,1,1.0,30,34
274,777201,936,115631,30-34,M,64,1882.0,0.0,0.0,1,1.0,30,34
275,777235,936,115637,30-34,M,65,2883.0,1.0,0.99000001,1,1.0,30,34
276,777248,936,115639,30-34,F,7,3989.0,1.0,1.279999971,1,0.0,30,34
277,777261,936,115641,40-44,M,29,19603.0,4.0,5.279999971,1,1.0,40,44
278,777382,936,115675,40-44,M,24,3047.0,1.0,1.379999995,1,0.0,40,44
279,777398,936,115677,35-39,M,24,3029.0,1.0,1.049999952,1,1.0,35,39
280,777410,936,115679,45-49,M,26,3490.0,1.0,1.340000033,1,1.0,45,49
281,777482,936,115691,45-49,M,28,2479.0,0.0,0.0,1,0.0,45,49
282,777495,936,115693,40-44,M,19,19581.0,7.0,10.42999983,2,0.0,40,44
283,777519,936,115697,45-49,M,29,19537.0,5.0,6.099999905,1,0.0,45,49
284,777625,936,115715,45-49,M,16,59433.0,12.0,19.65999949,3,0.0,45,49
285,777627,936,115715,45-49,M,16,157534.0,33.0,56.19000077,2,0.0,45,49
286,777638,936,115717,40-44,M,7,1781.0,0.0,0.0,1,1.0,40,44
287,777670,936,115723,40-44,M,16,23769.0,4.0,6.029999852,1,0.0,40,44
288,777673,936,115723,40-44,M,16,7101.0,0.0,0.0,1,0.0,40,44
289,777742,936,115735,35-39,M,64,4726.0,1.0,1.830000043,1,1.0,35,39
290,777758,936,115737,30-34,M,19,5209.0,1.0,0.959999979,2,0.0,30,34
291,777794,936,115743,30-34,M,18,13473.0,3.0,2.619999945,3,0.0,30,34
292,777816,936,115747,40-44,M,2,500.0,0.0,0.0,1,1.0,40,44
293,777871,936,115756,30-34,M,20,4616.0,1.0,1.360000014,1,0.0,30,34
294,777904,936,115762,30-34,M,31,3279.0,0.0,0.0,1,0.0,30,34
295,777905,936,115762,30-34,M,31,3288.0,0.0,0.0,1,0.0,30,34
296,778037,936,115784,35-39,M,27,14615.0,4.0,6.050000191,1,0.0,35,39
297,778048,936,115786,30-34,M,27,56615.0,12.0,19.88000035,2,0.0,30,34
298,778085,936,115792,30-34,M,26,11735.0,3.0,4.529999971,1,1.0,30,34
299,778087,936,115792,30-34,M,26,15910.0,5.0,6.779999852,1,0.0,30,34
300,778112,936,115796,35-39,M,29,11446.0,2.0,3.090000033,1,1.0,35,39
301,778113,936,115796,35-39,M,29,4595.0,0.0,0.0,1,0.0,35,39
302,778124,936,115798,30-34,M,29,4871.0,0.0,0.0,1,0.0,30,34
303,778148,936,115802,35-39,M,28,3199.0,0.0,0.0,1,0.0,35,39
304,778156,936,115804,30-34,M,28,9388.0,2.0,3.140000105,1,0.0,30,34
305,778161,936,115804,30-34,M,28,17954.0,6.0,7.5400002,2,1.0,30,34
306,778208,936,115812,40-44,F,29,2755.0,0.0,0.0,1,0.0,40,44
307,778264,936,115822,40-44,F,27,8152.0,1.0,0.99000001,1,0.0,40,44
308,778266,936,115822,40-44,F,27,74542.0,19.0,34.1500001,1,0.0,40,44
309,778421,936,115848,40-44,F,20,6699.0,2.0,3.090000033,1,0.0,40,44
310,778422,936,115848,40-44,F,20,11911.0,4.0,3.959999919,1,0.0,40,44
311,778461,936,115854,40-44,M,29,10090.0,2.0,2.650000095,1,1.0,40,44
312,778471,936,115856,30-34,M,32,1273.0,0.0,0.0,1,1.0,30,34
313,778483,936,115858,40-44,F,18,24188.0,5.0,8.179999828,1,0.0,40,44
314,778529,936,115866,30-34,M,31,2214.0,0.0,0.0,1,0.0,30,34
315,778556,936,115870,40-44,M,32,9735.0,4.0,4.130000114,1,1.0,40,44
316,778590,936,115876,30-34,M,30,1371.0,0.0,0.0,1,1.0,30,34
317,778600,936,115878,40-44,F,22,10750.0,4.0,5.389999866,1,0.0,40,44
318,778626,936,115882,30-34,M,29,7629.0,1.0,0.720000029,1,1.0,30,34
319,778628,936,115882,30-34,M,29,4608.0,0.0,0.0,1,0.0,30,34
320,778674,936,115890,35-39,M,29,3732.0,0.0,0.0,1,0.0,35,39
321,778689,936,115892,30-34,M,28,7453.0,1.0,1.679999948,1,1.0,30,34
322,778722,936,115898,35-39,F,64,41785.0,14.0,19.10000038,1,0.0,35,39
323,778737,936,115900,35-39,M,27,8077.0,2.0,3.579999924,1,1.0,35,39
324,778756,936,115904,35-39,F,63,5602.0,1.0,1.580000043,1,0.0,35,39
325,778804,936,115912,30-34,M,26,6184.0,2.0,2.75,1,1.0,30,34
326,778808,936,115912,30-34,M,26,1738.0,0.0,0.0,1,0.0,30,34
327,778964,936,115938,35-39,F,27,112460.0,25.0,41.29000068,1,0.0,35,39
